/*LISTA GERAL CLASSIFICADO POR NOTA*/
450  Administracao – bacharel
INSC	V_LIN	V_MAT	V_NAT	V_HUM	RED	COTA	NOTA FINAL	CLASSIFICAÇÃO
589239	475.44	507.92	469.95	626.35	850 	AC	543.58	1
592797	672.65	587.05	585.94	626.35	650 	AC	542.30	2
544493	623.35	507.92	585.94	588.56	700 	AC	531.26	3
559443	475.44	587.05	624.60	475.18	750 	AC	524.01	4
554789	574.04	547.48	701.92	512.97	650 	AC	519.70	5
554252	574.04	626.62	585.94	626.35	550 	AC	499.13	6
558365	672.65	626.62	624.60	588.56	500 	AC	499.04	7
588758	574.04	547.48	663.26	512.97	600 	AC	496.59	8
580306	475.44	587.05	624.60	588.56	600 	AC	492.91	9
591244	771.25	626.62	508.61	550.76	500 	AC	489.84	10
590548	623.35	587.05	701.92	512.97	500 	AC	484.52	11
592218	672.65	507.92	663.26	437.38	550 	AC	477.17	12
581121	574.04	507.92	585.94	512.97	600 	AC	477.11	13
572001	524.74	626.62	663.26	550.76	500 	AC	474.53	14
578934	574.04	626.62	585.94	550.76	500 	AC	469.86	15
592511	574.04	507.92	585.94	512.97	550 	AC	460.45	16
583915	672.65	587.05	547.28	437.38	500 	AC	454.36	17
591908	672.65	547.48	547.28	664.14	400 	AC	452.23	18
586465	524.74	428.78	624.60	550.76	550 	AC	451.78	19
589809	820.55	507.92	585.94	512.97	400 	AC	451.53	20
547982	574.04	587.05	508.61	550.76	500 	AC	450.38	21
581465	623.35	587.05	508.61	475.18	500 	AC	446.00	22
583610	524.74	666.19	624.60	626.35	350 	AC	437.28	23
580688	623.35	547.48	547.28	588.56	400 	AC	431.41	24
549897	623.35	507.92	547.28	626.35	400 	AC	431.12	25
572608	574.04	507.92	547.28	664.14	400 	AC	429.20	26
574168	623.35	587.05	469.95	550.76	400 	AC	418.82	27
591883	574.04	507.92	508.61	437.38	500 	AC	418.29	28
562674	623.35	507.92	585.94	701.94	300 	AC	416.82	29
547871	524.74	626.62	547.28	512.97	400 	AC	415.57	30
553708	524.74	587.05	547.28	550.76	400 	AC	415.27	31
580884	524.74	626.62	547.28	588.56	350 	AC	411.50	32
588466	574.04	428.78	469.95	512.97	500 	AC	411.26	33
590106	475.44	507.92	585.94	588.56	400 	AC	406.61	34
578817	574.04	587.05	469.95	512.97	400 	AC	404.30	35
579658	623.35	507.92	585.94	512.97	350 	AC	402.00	36
591247	524.74	587.05	663.26	550.76	300 	AC	401.27	37
589212	376.84	507.92	624.60	664.14	350 	AC	392.55	38
581366	574.04	547.48	663.26	437.38	300 	AC	384.00	39
588860	623.35	507.92	469.95	512.97	350 	AC	382.66	40
590968	574.04	428.78	547.28	437.38	350 	AC	361.55	41
576717	574.04	507.92	431.29	437.38	350 	AC	355.41	42
586620	524.74	428.78	508.61	475.18	300 	AC	336.52	43
580618	623.35	507.92	701.92	512.97	650 	L1	521.33	1
559331	672.65	587.05	547.28	512.97	600 	L1	500.29	2
581022	475.44	428.78	469.95	664.14	650 	L1	470.02	3
559773	574.04	507.92	547.28	664.14	500 	L1	462.53	4
545162	475.44	587.05	547.28	588.56	500 	L1	446.69	5
557862	623.35	547.48	469.95	512.97	400 	L1	405.93	6
584838	574.04	547.48	469.95	550.76	400 	L1	404.01	7
559225	672.65	547.48	508.61	550.76	250 	L1	376.89	8
581373	574.04	468.35	508.61	512.97	350 	L1	374.30	9
581063	672.65	507.92	624.60	588.56	800 	L3	579.25	1
566019	574.04	587.05	663.26	512.97	550 	L3	486.52	2
591193	574.04	587.05	663.26	626.35	400 	L3	455.42	3
559022	524.74	468.35	701.92	588.56	450 	L3	444.23	4
592200	574.04	468.35	508.61	664.14	450 	L4	432.83	1
550943	475.44	547.48	469.95	512.97	550 	L4	431.28	2
592624	524.74	468.35	508.61	550.76	500 	L4	422.38	3
583316	574.04	547.48	547.28	475.18	450 	L4	420.96	4
583143	475.44	507.92	469.95	626.35	350 	L4	376.91	5
567619	721.95	428.78	663.26	588.56	900 	L5	614.06	1
583930	524.74	547.48	701.92	701.94	600 	L7	526.32	1
589557	524.74	507.92	624.60	550.76	650 	L7	498.30	2
565384	623.35	587.05	585.94	588.56	500 	L7	477.78	3
590758	623.35	507.92	547.28	626.35	750 	L8	547.78	1
588967	574.04	507.92	624.60	626.35	700 	L8	535.79	2
555023	524.74	507.92	624.60	475.18	450 	L8	419.04	3
563310	574.04	507.92	469.95	550.76	450 	L8	414.08	4

547  Administracao – bacharel
INSC	V_LIN	V_MAT	V_NAT	V_HUM	RED	COTA	NOTA FINAL	CLASSIFICAÇÃO
589667	623.35	666.19	547.28	664.14	850 	AC	597.56	1
585650	623.35	587.05	624.60	588.56	750 	AC	557.94	2
555634	672.65	547.48	547.28	588.56	750 	AC	555.32	3
573933	721.95	587.05	701.92	588.56	500 	AC	525.73	4
555373	524.74	626.62	701.92	626.35	650 	AC	523.29	5
580480	524.74	587.05	585.94	777.52	650 	AC	522.66	6
574934	623.35	507.92	663.26	664.14	600 	AC	520.09	7
587852	672.65	587.05	663.26	626.35	500 	AC	511.51	8
553695	475.44	587.05	779.25	550.76	650 	AC	503.80	9
551877	524.74	507.92	585.94	701.94	650 	AC	500.56	10
550558	574.04	547.48	547.28	588.56	650 	AC	498.58	11
582817	820.55	468.35	585.94	626.35	400 	AC	497.20	12
544637	574.04	587.05	508.61	437.38	700 	AC	491.40	13
561132	475.44	666.19	585.94	437.38	700 	AC	485.58	14
564562	623.35	547.48	469.95	475.18	650 	AC	485.42	15
586795	623.35	507.92	701.92	475.18	550 	AC	484.34	16
579177	623.35	547.48	469.95	550.76	600 	AC	481.93	17
566733	623.35	507.92	585.94	550.76	550 	AC	478.56	18
574784	574.04	547.48	624.60	550.76	550 	AC	475.65	19
582645	524.74	507.92	547.28	626.35	600 	AC	469.95	20
589787	672.65	507.92	585.94	475.18	500 	AC	467.57	21
584169	574.04	547.48	624.60	475.18	550 	AC	464.86	22
577199	574.04	547.48	508.61	550.76	550 	AC	459.08	23
584551	672.65	468.35	585.94	626.35	400 	AC	454.94	24
561058	623.35	507.92	547.28	512.97	500 	AC	453.36	25
572876	574.04	507.92	624.60	626.35	450 	AC	452.23	26
592577	623.35	468.35	469.95	512.97	550 	AC	450.94	27
557183	623.35	507.92	508.61	626.35	450 	AC	449.74	28
544614	574.04	626.62	585.94	512.97	450 	AC	447.47	29
587201	574.04	547.48	585.94	588.56	450 	AC	446.96	30
573681	574.04	626.62	469.95	588.56	450 	AC	441.69	31
551000	574.04	587.05	547.28	550.76	450 	AC	441.69	32
544257	524.74	507.92	547.28	512.97	550 	AC	439.47	33
588819	574.04	587.05	469.95	701.94	400 	AC	437.95	34
588853	475.44	507.92	508.61	512.97	600 	AC	434.15	35
578999	524.74	587.05	663.26	550.76	400 	AC	429.89	36
590367	475.44	547.48	624.60	626.35	450 	AC	429.71	37
592012	524.74	587.05	585.94	437.38	450 	AC	416.93	38
589995	672.65	547.48	547.28	512.97	300 	AC	415.95	39
584255	524.74	468.35	547.28	475.18	500 	AC	414.13	40
591131	623.35	587.05	547.28	437.38	350 	AC	411.01	41
572869	721.95	507.92	547.28	399.59	300 	AC	408.19	42
543743	475.44	468.35	624.60	550.76	450 	AC	407.60	43
584806	524.74	547.48	508.61	664.14	350 	AC	404.05	44
582825	574.04	626.62	585.94	361.80	350 	AC	397.30	45
583468	524.74	626.62	469.95	475.18	400 	AC	397.13	46
577645	574.04	587.05	508.61	475.18	350 	AC	396.80	47
586018	524.74	547.48	469.95	512.97	400 	AC	391.22	48
564686	475.44	468.35	547.28	550.76	400 	AC	382.27	49
558304	376.84	507.92	585.94	550.76	450 	AC	379.56	50
563972	475.44	468.35	469.95	475.18	450 	AC	374.71	51
582665	574.04	468.35	547.28	475.18	300 	AC	371.08	52
